266 contests
rank	name	rating	participations
302	Mip182	2540.859043114929	22
303	albaniliu	2539.778980363063	39
304	seeean	2539.3676755751267	121
305	sammochen	2538.483212253577	13
306	wyj20154348	2536.751918260851	48
307	abhishekvanjani	2535.3269432218017	31
308	chensuim	2533.245515266781	69
309	9pm	2533.1211934887287	98
310	suibianfahui	2531.9957233598916	55
311	ajinkya1p3	2531.6626463478774	19
312	CyprienH	2531.153143895762	15
313	学徒	2530.2868085544424	31
314	danieldumitran	2529.347672927212	54
315	XBB_HOME	2529.246268051572	122
316	chauncey95	2529.00226072581	33
317	gerwang	2528.7010972447238	15
318	tinylic	2527.8296399112187	34
319	pedro	2527.5542377074967	86
320	xaviercai	2526.7850510622698	27
321	henry15	2526.422132905024	12
322	CosmicWolf	2526.189512744967	45
323	chenjianxu97	2525.8930007644212	62
324	jasonlaw-dev	2525.533126206923	35
325	kai-chieh	2525.5113935589306	19
326	coder206	2525.0194672556167	122
327	Chasey	2522.874835461095	58
328	ahsu198	2520.8966026842513	22
329	AMline	2520.67240932161	18
330	Mefarnis	2520.4108372242817	12
331	Jy_Tan	2519.710430741159	101
332	cszclin	2519.3496552142506	80
333	mcginn	2518.939735034164	51
334	lunaticge	2517.639526226767	20
335	jljljljljl	2517.548931024156	56
336	yogahmad	2517.5177904052866	6
337	muhandae	2516.523617039636	18
338	yaqizhang	2516.4645209215355	51
339	acw_yxc	2516.283366280397	16
340	mapleisle	2515.6800650676464	94
341	Firepaw	2514.86349973824	40
342	lz437	2514.8150991652165	49
343	tdteach	2514.7721781192445	61
344	YouSiki	2514.4709052735566	15
345	mzchen	2514.160392033901	162
346	lwpyr	2513.9217427047547	55
347	polansky	2513.2443608270623	24
348	suspicious-colden	2513.0994309981666	3
349	kirika-comp	2512.407518731847	11
350	mihaild	2511.82448849036	7
351	NerdyCoder	2511.6666677110907	159
352	olimpo	2510.1714642212987	30
353	Xiaohao1211	2509.8052324487116	18
354	rickytheta	2509.3967407182963	7
355	firiexp	2509.077721016747	20
356	silmue	2508.6708634058455	28
357	wisdompeak	2507.855564424925	217
358	Shoom	2507.8272007416863	24
359	JDEP	2507.1960892428647	24
360	sun-man-man	2506.4464913925653	103
361	dexterdreeeam	2506.014306593248	26
362	aruba1	2505.566004857037	51
363	hzx-12	2504.3098419106154	37
364	jianfeng4	2504.26943731787	102
365	zizhong	2504.0509170642354	51
366	zipei2124	2503.8815530353227	28
367	QingqingXii0iii	2503.8275685101125	33
368	lxy-tql	2502.213860052625	12
369	pmnoxx	2500.996299046978	9
370	askdfjlas123	2499.5124077525793	31
371	yan_wei_zhe	2499.3363405804553	36
372	xavier13540	2497.4278289270555	9
373	2997ms	2496.178117727349	92
374	jun__	2495.4440986341397	46
375	Phoenix1369	2495.0482318398276	65
376	alanmiller	2494.8971355239582	90
377	cf_newbie	2494.33875876943	75
378	mkawa222	2494.0476865592796	44
379	Windsfantasy6	2493.7675062709964	15
380	chenhao4	2493.0271411616263	30
381	tongtongac	2492.7003484862635	16
382	xiao-hai-zi-pao	2491.945575914949	29
383	xiaotianrandom	2491.513921505755	25
384	sfiction	2491.4558428443142	7
385	oldyan	2491.3321912127326	33
386	Eser	2491.320112928971	53
387	tungmai	2490.307953317516	44
388	smax	2490.1110023260117	3
389	bragcat	2489.37397441798	34
390	bigelephant29	2489.215294618865	17
391	lee0560	2489.1819885621617	84
392	SoulOfCinder	2489.1540859928823	9
393	solene	2489.0855164219297	20
394	ericzhang98	2488.2744731467787	56
395	harttle	2488.209549204833	132
396	shang-jin	2488.0834447540565	13
397	Aging	2488.0473826923917	119
398	PiscesDream	2487.3405214675004	46
399	atf	2487.0901234842336	22
400	shdut	2486.7198803936376	72
401	dettier	2486.6413977467296	51
402	implicit	2486.471966568702	37
403	rajdetroja	2486.203280433833	26
404	BrWang	2485.3400347675088	55
405	zhuynan	2485.2891553545505	30
406	asdf3332	2484.6066390454525	16
407	wangshengyu	2483.1779912892575	14
408	hanhsienhuang	2483.0213622528463	55
409	fanzhh	2482.7794658744965	98
410	bobogei81123	2482.776481221303	7
411	Jesko	2481.8658763975504	126
412	han-184	2481.773108001046	17
413	cathy009	2481.7069511284853	138
414	democoffee	2481.234445759963	119
415	orthogonal1	2480.7868500346003	31
416	0am	2480.7425286706907	10
417	JohnsonTau	2480.251349980194	54
418	Wenwen326	2480.067407568749	57
419	qb_2008	2479.998487913496	63
420	wzc1995	2479.7894591111917	51
421	qodjf	2479.7768820465203	11
422	love-algrithm	2478.6624069317895	54
423	XuhuiWang	2478.5265450853003	107
424	lkh1018	2478.1502535585546	36
425	layor	2477.958160097024	112
426	anorange0409	2477.609086358141	31
427	ericlege98	2477.418945874584	15
428	raynor30	2477.1127964624434	42
429	liao119	2476.1597606239675	32
430	stormsunshine	2475.3576748636874	171
431	all_too_well	2474.6620414142853	44
432	llcD_K	2474.5403110541556	26
433	maxxjq	2473.6601852911313	62
434	swordfeng	2473.5999608054485	10
435	jiangyanerpang	2473.4914391184966	45
436	hinak	2473.4037041070346	14
437	bladerunner123	2472.8666980884836	53
438	benmirt	2472.7731444163883	8
439	ffutop	2472.3476171362527	21
440	gofb	2472.0922056683594	17
441	Laurant	2472.032140644591	13
442	JiaLiLue	2471.499749281105	17
443	cheol	2471.4683568031355	18
444	SilverNarcissus	2471.283853783049	114
445	alex_salcianu	2471.1769831888737	49
446	Mrsuyi	2471.018357835632	54
447	jiah	2470.8527337810956	137
448	bigmiaomiao	2470.639432386474	76
449	yuanzwan	2470.3610680900388	61
450	jqhuang1990	2470.0965005193816	47
451	aging	2469.8610294021287	47
452	tutousi	2469.0135086345163	25
453	william5	2468.9923741099497	41
454	PugachAG	2466.8804062625104	16
455	fuwutu	2466.34646277244	34
456	saarixx	2466.2441600060774	50
457	liang5	2464.3780016315395	13
458	blackskygg	2463.704423011365	131
459	ctzsm	2463.1322231806926	35
460	nyaruko	2462.6863386723107	56
461	wjasonhuang	2462.654543345293	43
462	marco12	2462.1825451031327	5
463	pze168	2461.5498610206178	81
464	srikkanthr	2461.4523779171927	11
465	wangyurzee7	2460.3506583454355	5
466	terranw	2459.7634633310186	33
467	perfectpan	2459.5758502786402	69
468	747929791	2459.466498793551	7
469	TheStrayCat	2459.305421203991	32
470	mopriestt	2458.8069466602483	26
471	jeremyzhang96	2456.7437844016404	66
472	Coup_De_Grace	2456.222137432901	51
473	maester_	2456.0279527415373	19
474	szfck	2455.849507663691	63
475	yuhsiangliu	2455.844604438743	38
476	ghostplant	2455.7016819924356	45
477	jaewonjo	2455.5896373082073	89
478	SleepyBag	2454.751685767686	35
479	catnipan	2454.0318817275747	79
480	apoi2333	2454.0187146922303	20
481	SlavaSSU	2453.922824089252	28
482	_hututu	2453.646706584957	15
483	zhoubowei	2452.259671104572	23
484	sobols	2451.8041995293443	11
485	AndreZWei	2451.4894380590868	64
486	hongda-jiang	2450.9847004623684	36
487	yu_dongfeng	2450.507876649459	19
488	xunrui	2450.238758060138	42
489	ChaouS	2450.197622867439	26
490	huiget-6	2449.839734740986	18
491	ko19951231	2449.2415664595046	48
492	panpeng	2448.0782813914934	95
493	dskloet	2447.934782601397	15
494	lixuanji	2447.3453198991187	23
495	xaviercai1996	2446.7318831131547	36
496	rockstar	2446.3603470815387	62
497	jghy53508	2446.24569751586	11
498	jiayindeng	2446.08716067664	39
499	minhquanym	2445.847916923993	21
500	zyxwvu164	2445.428464546817	13
501	ZYCSwing	2445.0377333759693	147
502	maxhwardg	2444.799630364652	33
503	katorin	2444.098279213819	31
504	raymond_gnu	2444.08210934982	52
505	eireverie	2443.6254104496766	39
506	moririn2528	2442.7072483895663	35
507	azukun	2442.026574851637	15
508	gao-bie-xian-yu	2441.806633968228	7
509	ayaphis	2441.7973195961954	84
510	Captain_Mushroom	2441.59885904153	39
511	REWFALTQ	2440.3052739439536	104
512	fuzhe	2440.0767671417652	22
513	rarakasm	2439.784895002292	24
514	gantheory	2439.6242130370642	20
515	Errichto	2439.586836741202	6
516	ChelseaChenC	2439.2737870215765	57
517	oiybhio	2439.166366614114	35
518	yiqunoy	2439.1420750702905	57
519	Sun_WuKong	2439.09668558091	68
520	ShidaLei	2438.254103136744	117
521	Chris_T	2437.8754372841545	5
522	liuyubobobo	2437.201726734682	159
523	A_Separated	2437.1946751658693	21
524	kangbb	2436.8628956170064	120
525	lu-you-guan-guang	2436.479290236299	9
526	sepehry	2435.7265408105654	107
527	smartjinyu	2435.5967235439966	22
528	ryanwang	2435.5934139321953	59
529	peterrockwave	2435.448171716535	52
530	Lawliet890	2433.959870251484	39
531	solanata	2433.5439738239543	19
532	Aragog	2433.214620358685	91
533	luo122174088	2433.1855846262033	27
534	c_czl	2433.0907447499153	42
535	donnod	2432.5218566739236	61
536	lihuoran	2431.9214540031057	57
537	vos-hod	2431.1978262950524	23
538	tianyichen	2430.5536339772834	30
539	zdragon	2429.8023226541086	23
540	Mike_Chen	2429.7041273248433	89
541	vivek_shah98	2429.0857004256595	58
542	joshualian1989	2428.7272339992173	124
543	hirokazu1020	2428.6022548615683	45
544	ViktoriiaKovalova	2428.1641949407935	11
545	mickeyandkaka1	2428.063732765999	26
546	WilsonWang	2427.6922748364996	59
547	0w1	2427.5105229050523	17
548	fuppy	2427.0649660015874	8
549	zdai	2426.642500806825	28
550	nagabhushan	2426.4996023083563	37
551	gunawanlie	2426.363068469952	36
552	yokattame	2426.3578514995215	20
553	krists	2426.231433453459	26
554	jarvis57	2425.9433111643	14
555	angel30818	2425.939120469113	71
556	chelly-6	2424.646579735993	13
557	randc0degen	2424.528199101755	11
558	wangxlsb	2423.9011769527942	43
559	Tlatoani	2422.636989770191	5
